Station	Layer	Longitude	Latitude	Synechococcus abundance (cell/mL)	Prochlorococcus abundance (cell/mL)	Picoeukaryote abundance (cell/mL)	Synechococcus average diameter (µm)	Prochlorococcus average diameter (µm)	Picoeukaryotes average diameter (µm)	Synechococcus average cell biovolume (µm3)	Prochlorococcus average cell biovolume (µm3)	Picoeukaryotes average cell biovolume (µm3)	Synechococcus total biovolume (µm3)	Prochlorococcus total biovolume (µm3)	Picoeukatyors total biovolume (µm3)
122	Deep chlorophyll maximum	-139.2	-9	879	83011	1055	1.875	0.813	1.408	3.453	0.281	1.463	3034.44	23329.52	1542.66
122	Surface	-139.2	-9	6618	144356	5770	1.371	0.435	1.332	1.349	0.043	1.236	8925.82	6205.43	7133.46
123	Deep chlorophyll maximum	-140.3	-8.9	0	9851	191		1.045	1.293		0.597	1.131	0	5883.99	216.16
123	Surface	-140.3	-8.9	23133	7979	10279	0.975	1.011	1.345	0.486	0.541	1.275	11232.32	4317.35	13102.55
124	Deep chlorophyll maximum	-139.9	-8.9	7459	10187	8414	1.331	0.947	1.081	1.233	0.444	0.661	9199.28	4526.39	5560.03
124	Surface	-139.9	-8.9	96477	153863	10669	0.92	0.627	1.404	0.408	0.129	1.45	39374.31	19868.87	15469.49
125	Deep chlorophyll maximum	-142.6	-8.9	0	413	8		0.973	0.641		0.482	0.138	0	198.83	1.05
125	Surface	-142.6	-8.9	32067	114780	5808	1.483	0.608	1.36	1.708	0.118	1.317	54786.81	13507.05	7650.7
126	Deep chlorophyll maximum	-151.1	-12	8689	152755	2889	1.61	0.587	1.354	2.184	0.106	1.299	18976.11	16168.68	3753.89
126	Surface	-151.1	-12	13298	214108	6901	1.83	0.412	1.278	3.211	0.037	1.094	42700.86	7839.86	7550.71
127	Deep chlorophyll maximum	-152.3	-9.6	2812	42637	917	1.481	0.765	1.432	1.7	0.234	1.536	4781.74	9983.39	1409.09
127	Surface	-152.3	-9.6	5839	132686	4669	1.259	0.497	1.327	1.044	0.064	1.223	6097.04	8552.02	5712.95
128	Deep chlorophyll maximum	-152.8	-1.4	13091	168269	7895	1.449	0.55	1.362	1.593	0.087	1.324	20848.79	14671.06	10451.46
128	Surface	-152.8	-1.4	10417	169431	7872	1.331	0.561	1.472	1.235	0.092	1.669	12862.34	15658.12	13137.67
129	Deep chlorophyll maximum	-154.3	3.6	14413	126320	5113	1.305	0.488	1.42	1.164	0.061	1.498	16773.22	7691.84	7658.84
129	Surface	-154.3	3.6	8208	69561	2874	1.302	0.534	1.375	1.156	0.08	1.361	9486.2	5543.73	3909.97
130	Deep chlorophyll maximum	-152.4	11.3	0	84815	1261		0.909	1.38		0.393	1.377	0	33354.3	1736.34
130	Surface	-152.4	11.3	1620	162919	1368	2.091	0.516	1.474	4.784	0.072	1.675	7750.35	11740.41	2292
131	Deep chlorophyll maximum	-158	22.8	275	87520	489	1.933	0.862	1.435	3.782	0.335	1.547	1040.53	29352.58	756.82
131	Surface	-158	22.8	1131	122522	581	0.889	0.419	1.714	0.367	0.038	2.635	415.46	4712.52	1530.72
132	Deep chlorophyll maximum	-159	31.5	0	46488	673		0.941	1.342		0.436	1.265	0	20251.86	851.02
132	Surface	-159	31.5	1567	119771	932	1.65	0.365	1.493	2.351	0.026	1.743	3683.83	3057.39	1624.87
133	Deep chlorophyll maximum	-127.7	35.4	32151	63859	9392	0.959	0.784	1.356	0.462	0.255	1.305	14835.8	16116.18	12260.51
133	Surface	-127.7	35.4	31456	138372	6068	1.041	0.519	1.357	0.59	0.073	1.309	18572.46	10108.77	7943.66
134	Surface	-122	32.7	43301	60543	6343	0.838	0.582	1.23	0.308	0.103	0.974	13320	6263.63	6176.64
135	Deep chlorophyll maximum	-121.8	33	32755	31739	4364	1.083	0.9	1.378	0.666	0.381	1.372	21814.97	12106.54	5984.95
135	Surface	-121.8	33	46251	74750	10569	0.92	0.612	1.208	0.408	0.12	0.923	18854.45	8963.47	9755.38
136	Surface	-118.9	17.1	20160	186228	8628	1.241	0.502	1.397	1.001	0.066	1.426	20184.29	12298.82	12305.5
137	Deep chlorophyll maximum	-116.6	14.2	16767	76400	4746	0.857	0.607	1.458	0.33	0.117	1.623	5532.63	8967.7	7700.28
137	Surface	-116.6	14.2	48063	225831	10134	0.991	0.468	1.331	0.51	0.054	1.234	24502.3	12144.18	12507.55
138	Deep chlorophyll maximum	-102.9	6.3	0	60313	3630		0.856	1.238		0.328	0.993	0	19781.67	3606.08
138	Surface	-102.9	6.3	2507	220329	1567	1.499	0.391	1.422	1.765	0.031	1.505	4424.24	6872.22	2358.59
139	Surface	-95	6.5	185930	157593	17768	0.857	0.854	1.327	0.33	0.327	1.224	61370.4	51458.66	21746.83
140	Surface	-79.3	7.4	127314	137677	5808	0.811	0.512	1.388	0.279	0.07	1.399	35576.91	9679.52	8125.35
141	Deep chlorophyll maximum	-80	9.8	2361	22354	306	1.877	1.099	1.617	3.46	0.695	2.214	8170.46	15532.08	676.94
141	Surface	-80	9.8	83584	55865	2277	0.977	0.534	1.787	0.488	0.08	2.987	40821.57	4451.9	6803.75
142	Deep chlorophyll maximum	-88.3	25.5	12900	53687	1253	1.56	0.554	1.52	1.988	0.089	1.841	25647.52	4776.1	2306.84
142	Surface	-88.3	25.5	16592	73038	1597	1.3	0.458	1.417	1.151	0.05	1.488	19095.03	3676.01	2377.12
143	Deep chlorophyll maximum	-79.5	29.6	14559	91227	780	1.282	0.716	1.711	1.103	0.192	2.625	16055.36	17518.73	2046.18
143	Surface	-79.5	29.6	13710	115843	780	1.32	0.536	1.571	1.204	0.081	2.03	16511.54	9365.24	1582.44
144	Surface	-74.6	34.8	17891	81353	818	1.18	0.637	1.68	0.861	0.135	2.485	15403.01	11020.79	2031.99
145	Deep chlorophyll maximum	-70	39.2	0	0	0							0	0	0
145	Surface	-70	39.2	22789	0	7749	1.126		1.261	0.747		1.05	17034.75	0	8137.48
146	Surface	-71.3	34.7	14964	12495	4165	1.855	0.984	1.353	3.343	0.499	1.297	50020.98	6238.45	5402.46
147	Surface	-66.5	33	29347	16851	3248	1.237	0.971	1.321	0.99	0.479	1.207	29055.58	8070.86	3918.97
148	Surface	-64.2	31.7	25311	20390	1911	1.335	0.818	1.482	1.246	0.287	1.705	31537.54	5845.89	3258.13
149	Surface	-49.9	34.1	41521	13198	7375	1.347	0.719	1.353	1.28	0.194	1.297	53143.18	2565.25	9564.09
150	Deep chlorophyll maximum	-37.3	35.9	19786	94627	6137	1.489	0.844	1.276	1.728	0.315	1.089	34185.96	29838.89	6682.33
150	Surface	-37.3	35.9	24433	121590	7940	1.172	0.821	1.279	0.843	0.29	1.096	20599.54	35210.74	8703.83
151	Deep chlorophyll maximum	-29	36.2	1406	10310	879	1.756	0.967	1.39	2.834	0.473	1.406	3985.06	4874.27	1235.35
151	Surface	-29	36.2	11211	55674	3569	1.378	0.529	1.445	1.371	0.077	1.579	15370.36	4311.93	5635.25
152	Surface	-16.8	43.7	38678	65350	7551	1.169	0.625	1.425	0.836	0.128	1.516	32338.06	8336.2	11446.92
153	Surface	-24.8	37.9	29721	27467	3034	1.332	0.708	1.383	1.236	0.186	1.385	36742.33	5102.97	4200.79
