run_accession	sample_title
ERR1726811	TARA_20091102T1415Z_018_EVENT_NET_N1+N2_D_(80 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000589
ERR1726814	TARA_20100405T1315Z_043_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000297
ERR1726818	TARA_20111005T0027Z_132_EVENT_NET_N1+N2_D_(115 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002402
ERR1726820	TARA_20100330T0532Z_041_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000077
ERR1726829	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_MB_D_(30 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000807
ERR1726832	TARA_20100404T0828Z_042_EVENT_NET_N1+N2_D_(80 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000091
ERR1726834	TARA_20110615T2034Z_112_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000001878
ERR1726836	TARA_20091116T1703Z_022_EVENT_NET_N1+N2_D_(60 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000695
ERR1726841	TARA_20110421T2222Z_102_EVENT_NET_N1_S_(5 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000001654
ERR1726843	TARA_20100312T1120Z_036_EVENT_NET_N1+N2_D_(20 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000314
ERR1726844	TARA_20100330T0245Z_041_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000076
ERR1726846	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002017
ERR1726848	TARA_20111023T2122Z_135_EVENT_PUMP_P_D_(30 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002183
ERR1726849	TARA_20111004T2149Z_132_EVENT_NET_N1_S_(5 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002412
ERR1726851	TARA_20110904T1800Z_128_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002285
ERR1726854	TARA_20100511T0342Z_051_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W5-20_TARA_N000000202
ERR1726867	TARA_20120301T1422Z_149_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002139
ERR1726877	TARA_20120218T1910Z_147_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002109
ERR1726879	TARA_20091004T1416Z_011_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_X000001334
ERR1726881	TARA_20101202T1028Z_081_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001432
ERR1726884	TARA_20111023T1424Z_135_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002464
ERR1726889	TARA_20120224T1351Z_148_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002119
ERR1726890	TARA_20110521T1227Z_110_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001754
ERR1726891	TARA_20110726T2142Z_122_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001942
ERR1726897	TARA_20100416T0444Z_047_EVENT_CAST_B7_D_(55 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_G000000124
ERR1726900	TARA_20110404T1707Z_098_EVENT_NET_N1+N2_D_(180 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001594
ERR1726903	TARA_20110808T2150Z_125_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002024
ERR1726908	TARA_20100322T1123Z_040_EVENT_CAST_B6_Z_(75 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000066
ERR1726911	TARA_20120309T1617Z_151_EVENT_NET_N1+N2_D_(80 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000002755
ERR1726918	TARA_20100113T0720Z_033_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100001245
ERR1726922	TARA_20110728T2028Z_122_EVENT_NET_N1+N2_D_(115 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001954
ERR1726925	TARA_20100330T0917Z_041_EVENT_NET_N1+N2_D_(70 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000075
ERR1726927	TARA_20110726T2330Z_122_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001941
ERR1726933	TARA_20110512T1400Z_109_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001727
ERR1726936	TARA_20090920T1715Z_005_EVENT_NET_N1+N2_D_(68 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_X000000525
ERR1726941	TARA_20120324T1852Z_153_EVENT_NET_N1+N2_X_(100 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000002807
ERR1726944	TARA_20120109T1504Z_142_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000003089
ERR1726946	TARA_20110808T2016Z_125_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002025
ERR1726947	TARA_20120320T1503Z_152_EVENT_NET_N1+N2_X_(25 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000002783
ERR1726948	TARA_20111210T1625Z_138_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000003005
ERR1726949	TARA_20120301T1301Z_149_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002141
ERR1726950	TARA_20101016T1854Z_076_EVENT_NET_N1+N2_D_(150 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000876
ERR1726954	TARA_20111202T2237Z_137_EVENT_NET_N1+N2_D_(40 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002940
ERR1726955	TARA_20110512T1400Z_109_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001727
ERR1726956	TARA_20091102T1031Z_018_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000596
ERR1726958	TARA_20101202T2142Z_081_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001422
ERR1726966	TARA_20110930T2058Z_131_EVENT_NET_N1+N2_D_(110 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000002366
ERR1726968	TARA_20110109T1413Z_086_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000001073
ERR1726972	TARA_20120320T0851Z_152_Combined-EVENTS_CAST_MB_X_(25 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002482
ERR1726973	TARA_20120305T1345Z_150_EVENT_NET_N1_S_(5 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002699
ERR1726974	TARA_20100413T0321Z_045_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000257
ERR1740325	TARA_20110103T1105Z_084_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000001006
ERR1740328	TARA_20100712T0559Z_065_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000959
ERR315680	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315684	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315685	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315686	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315692	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315694	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315695	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315799	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315801	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315803	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315807	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315815	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315818	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315820	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315821	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315823	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR315826	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
ERR318582	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318592	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318597	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318600	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318602	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318604	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318608	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318614	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR318616	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist
ERR4691704	TARA_20100423T1050Z_049_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000120
ERR4691710	TARA_20100509T1310Z_050_Combined-EVENTS_CAST_MB_D_(120 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000149
ERR4691712	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_MB_D_(115 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001946
ERR4691715	TARA_20110619T1712Z_113_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001894
ERR4691717	TARA_20110628T1750Z_115_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001912
ERR4691721	TARA_20110701T0627Z_117_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001916
ERR4691722	TARA_20110701T2108Z_118_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001920
ERR4691729	TARA_20090927T1357Z_008_EVENT_NET_N1+N2_D_(41 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_X000000838
ERR4691730	TARA_20090927T0914Z_008_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_X000000796
ERR4691731	TARA_20090927T0914Z_008_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W5-20_TARA_X000000798
ERR4691733	TARA_20090927T1341Z_008_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_X000000834
ERR4691735	TARA_20090930T1321Z_010_EVENT_NET_N1+N2_D_(110 m)_PROT_NUC-RNA(1L)_N20-180_TARA_X000001172
ERR4691740	TARA_20091028T1445Z_017_EVENT_NET_N1+N2_D_(90 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000134
ERR4691743	TARA_20110321T1301Z_095_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001262
ERR4691744	TARA_20091111T1624Z_019_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_A100000823
ERR4691747	TARA_20091111T1827Z_019_EVENT_NET_N1+N2_dZ_(0-100 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000810
ERR4691749	TARA_20091115T1050Z_021_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000689
ERR4691753	TARA_20100525T0550Z_053_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000371
